#===============================================================================
#   Lip Height Numerical Energy  Relative Error Analytical Energy Analyt. Enrgy. Error
#===============================================================================
  0.01400000 0.000000001502183   0.01256963 0.000000001483544   0.01256372
  0.01378600 0.000000001500880   0.01169115 0.000000001483544   0.01168534
  0.01357200 0.000000001499635   0.01085212 0.000000001483544   0.01084640
  0.01335800 0.000000001498935   0.01038041 0.000000001483544   0.01037478
  0.01314400 0.000000001498134   0.00984035 0.000000001483544   0.00983482
  0.01293000 0.000000001497243   0.00923990 0.000000001483543   0.00923446
  0.01271600 0.000000001496755   0.00891087 0.000000001483543   0.00890552
  0.01250200 0.000000001496149   0.00850232 0.000000001483543   0.00849707
  0.01228800 0.000000001495591   0.00812620 0.000000001483543   0.00812104
  0.01207400 0.000000001495085   0.00778529 0.000000001483543   0.00778022
  0.01186000 0.000000001494475   0.00737426 0.000000001483543   0.00736928
  0.01164600 0.000000001494452   0.00735824 0.000000001483543   0.00735335
  0.01143200 0.000000001494138   0.00714711 0.000000001483543   0.00714231
  0.01121800 0.000000001493740   0.00687820 0.000000001483542   0.00687350
  0.01100400 0.000000001493404   0.00665184 0.000000001483542   0.00664722
  0.01079000 0.000000001492980   0.00636595 0.000000001483542   0.00636143
  0.01057600 0.000000001492739   0.00620391 0.000000001483542   0.00619948
  0.01036200 0.000000001492511   0.00604992 0.000000001483542   0.00604557
  0.01014800 0.000000001492248   0.00587287 0.000000001483542   0.00586862
  0.00993400 0.000000001491990   0.00569858 0.000000001483542   0.00569442
  0.00972000 0.000000001491749   0.00553680 0.000000001483541   0.00553272
  0.00950600 0.000000001491422   0.00531580 0.000000001483541   0.00531182
  0.00929200 0.000000001491323   0.00524913 0.000000001483541   0.00524523
  0.00907800 0.000000001491033   0.00505413 0.000000001483541   0.00505033
  0.00886400 0.000000001490796   0.00489413 0.000000001483541   0.00489042
  0.00865000 0.000000001490633   0.00478443 0.000000001483541   0.00478080
  0.00843600 0.000000001490735   0.00485276 0.000000001483541   0.00484923
  0.00822200 0.000000001490546   0.00472552 0.000000001483541   0.00472208
  0.00800800 0.000000001490370   0.00460668 0.000000001483540   0.00460333
  0.00779400 0.000000001490197   0.00449019 0.000000001483540   0.00448693
  0.00758000 0.000000001490077   0.00440959 0.000000001483540   0.00440642
  0.00736600 0.000000001489915   0.00430052 0.000000001483540   0.00429744
  0.00715200 0.000000001489783   0.00421105 0.000000001483540   0.00420805
  0.00693800 0.000000001489654   0.00412411 0.000000001483540   0.00412121
  0.00672400 0.000000001489449   0.00398599 0.000000001483540   0.00398317
  0.00651000 0.000000001489297   0.00388375 0.000000001483539   0.00388102
  0.00629600 0.000000001489166   0.00379564 0.000000001483539   0.00379301
  0.00608200 0.000000001489044   0.00371309 0.000000001483539   0.00371055
  0.00586800 0.000000001489025   0.00370050 0.000000001483539   0.00369804
  0.00565400 0.000000001488904   0.00361843 0.000000001483539   0.00361607
  0.00544000 0.000000001488785   0.00353866 0.000000001483539   0.00353639
  0.00522600 0.000000001488672   0.00346240 0.000000001483539   0.00346022
  0.00501200 0.000000001488558   0.00338545 0.000000001483539   0.00338335
  0.00479800 0.000000001488451   0.00331351 0.000000001483538   0.00331150
  0.00458400 0.000000001488348   0.00324400 0.000000001483538   0.00324208
  0.00437000 0.000000001488243   0.00317344 0.000000001483538   0.00317162
  0.00415600 0.000000001488148   0.00310887 0.000000001483538   0.00310714
  0.00394200 0.000000001488052   0.00304450 0.000000001483538   0.00304285
  0.00372800 0.000000001487959   0.00298171 0.000000001483538   0.00298015
  0.00351400 0.000000001487865   0.00291864 0.000000001483538   0.00291717
  0.00330000 0.000000001487779   0.00286052 0.000000001483537   0.00285914
  0.00308600 0.000000001487693   0.00280224 0.000000001483537   0.00280095
  0.00287200 0.000000001487581   0.00272721 0.000000001483537   0.00272601
  0.00265800 0.000000001487689   0.00280010 0.000000001483537   0.00279899
  0.00244400 0.000000001487610   0.00274657 0.000000001483537   0.00274555
  0.00223000 0.000000001487529   0.00269186 0.000000001483537   0.00269093
  0.00201600 0.000000001487482   0.00266027 0.000000001483537   0.00265943
  0.00180200 0.000000001487411   0.00261242 0.000000001483537   0.00261167
  0.00158800 0.000000001487011   0.00234266 0.000000001483536   0.00234199
  0.00137400 0.000000001486940   0.00229456 0.000000001483536   0.00229398
  0.00116000 0.000000001486854   0.00223720 0.000000001483536   0.00223672
  0.00094600 0.000000001486835   0.00222441 0.000000001483536   0.00222402
  0.00073200 0.000000001486740   0.00215993 0.000000001483536   0.00215963
  0.00051800 0.000000001486997   0.00233335 0.000000001483536   0.00233314
  0.00030400 0.000000001486931   0.00228893 0.000000001483536   0.00228881
  0.00009000 0.000000001486568   0.00204414 0.000000001483536   0.00204410
 -0.00012400 0.000000001486793   0.00219592 0.000000001483535   0.00219597
 -0.00033800 0.000000001486817   0.00221203 0.000000001483535   0.00221217
 -0.00055200 0.000000001486749   0.00216633 0.000000001483535   0.00216656
 -0.00076600 0.000000001486398   0.00192982 0.000000001483535   0.00193014
 -0.00098000 0.000000001486336   0.00188774 0.000000001483535   0.00188815
 -0.00119400 0.000000001486284   0.00185259 0.000000001483535   0.00185309
 -0.00140800 0.000000001486229   0.00181595 0.000000001483535   0.00181654
 -0.00162200 0.000000001486380   0.00191713 0.000000001483534   0.00191780
 -0.00183600 0.000000001486123   0.00174409 0.000000001483534   0.00174486
 -0.00205000 0.000000001486073   0.00171020 0.000000001483534   0.00171106
 -0.00226400 0.000000001486023   0.00167650 0.000000001483534   0.00167745
 -0.00247800 0.000000001485978   0.00164675 0.000000001483534   0.00164778
 -0.00269200 0.000000001485932   0.00161515 0.000000001483534   0.00161627
 -0.00290600 0.000000001486058   0.00170012 0.000000001483534   0.00170133
 -0.00312000 0.000000001485834   0.00154963 0.000000001483534   0.00155093
 -0.00333400 0.000000001485789   0.00151928 0.000000001483533   0.00152067
 -0.00354800 0.000000001485746   0.00148989 0.000000001483533   0.00149137
 -0.00376200 0.000000001485790   0.00151982 0.000000001483533   0.00152139
 -0.00397600 0.000000001485754   0.00149527 0.000000001483533   0.00149693
 -0.00419000 0.000000001485707   0.00146379 0.000000001483533   0.00146554
 -0.00440400 0.000000001485734   0.00148206 0.000000001483533   0.00148390
 -0.00461800 0.000000001485660   0.00143178 0.000000001483533   0.00143371
 -0.00483200 0.000000001485637   0.00141665 0.000000001483532   0.00141866
 -0.00504600 0.000000001485607   0.00139604 0.000000001483532   0.00139814
 -0.00526000 0.000000001485567   0.00136921 0.000000001483532   0.00137140
 -0.00547400 0.000000001485517   0.00133585 0.000000001483532   0.00133813
 -0.00568800 0.000000001485485   0.00131393 0.000000001483532   0.00131630
 -0.00590200 0.000000001485446   0.00128804 0.000000001483532   0.00129050
 -0.00611600 0.000000001485401   0.00125727 0.000000001483532   0.00125982
 -0.00633000 0.000000001485366   0.00123405 0.000000001483532   0.00123668
 -0.00654400 0.000000001485156   0.00109202 0.000000001483531   0.00109475
 -0.00675800 0.000000001485123   0.00107039 0.000000001483531   0.00107321
 -0.00697200 0.000000001485088   0.00104624 0.000000001483531   0.00104915
 -0.00718600 0.000000001485219   0.00113463 0.000000001483531   0.00113762
 -0.00740000 0.000000001485185   0.00111208 0.000000001483531   0.00111516
 -0.00761400 0.000000001485147   0.00108652 0.000000001483531   0.00108969
 -0.00782800 0.000000001484960   0.00095993 0.000000001483531   0.00096319
 -0.00804200 0.000000001484943   0.00094909 0.000000001483530   0.00095244
 -0.00825600 0.000000001484910   0.00092681 0.000000001483530   0.00093025
 -0.00847000 0.000000001484878   0.00090514 0.000000001483530   0.00090867
 -0.00868400 0.000000001484846   0.00088371 0.000000001483530   0.00088732
 -0.00889800 0.000000001484806   0.00085631 0.000000001483530   0.00086002
 -0.00911200 0.000000001485111   0.00106185 0.000000001483530   0.00106564
 -0.00932600 0.000000001485158   0.00109376 0.000000001483530   0.00109765
 -0.00954000 0.000000001485047   0.00101863 0.000000001483530   0.00102260
 -0.00975400 0.000000001485018   0.00099962 0.000000001483529   0.00100368
 -0.00996800 0.000000001484699   0.00078452 0.000000001483529   0.00078867
 -0.01018200 0.000000001484668   0.00076360 0.000000001483529   0.00076784
