#================================================================
 #   Lip Height Numerical Energy  Relative Error Analytical Energy Analyt. Enrgy. Error
#================================================================
  0.01400000 0.000000001502183   0.01256963 0.000000001483544   0.01256372
  0.01388600 0.000000001501338   0.01199976 0.000000001483479   0.01203846
  0.01377200 0.000000001500797   0.01163530 0.000000001483412   0.01171933
  0.01365800 0.000000001500135   0.01118897 0.000000001483345   0.01131902
  0.01354400 0.000000001499467   0.01073858 0.000000001483276   0.01091542
  0.01343000 0.000000001498967   0.01040164 0.000000001483206   0.01062602
  0.01331600 0.000000001498750   0.01025550 0.000000001483135   0.01052828
  0.01320200 0.000000001498353   0.00998795 0.000000001483063   0.01030990
  0.01308800 0.000000001497817   0.00962675 0.000000001482989   0.00999868
  0.01297400 0.000000001497398   0.00934402 0.000000001482914   0.00976681
  0.01286000 0.000000001497079   0.00912908 0.000000001482838   0.00960363
  0.01274600 0.000000001496649   0.00883951 0.000000001482761   0.00936670
  0.01263200 0.000000001496446   0.00870253 0.000000001482682   0.00928338
  0.01251800 0.000000001496192   0.00853133 0.000000001482601   0.00916678
  0.01240400 0.000000001495915   0.00834457 0.000000001482519   0.00903560
  0.01229000 0.000000001495595   0.00812901 0.000000001482436   0.00887661
  0.01217600 0.000000001495255   0.00789972 0.000000001482351   0.00870493
  0.01206200 0.000000001495059   0.00776750 0.000000001482265   0.00863147
  0.01194800 0.000000001494785   0.00758270 0.000000001482177   0.00850648
  0.01183400 0.000000001494411   0.00733092 0.000000001482087   0.00831561
  0.01172000 0.000000001494208   0.00719432 0.000000001481995   0.00824118
  0.01160600 0.000000001494045   0.00708441 0.000000001481902   0.00819470
  0.01149200 0.000000001494250   0.00722202 0.000000001481806   0.00839728
  0.01137800 0.000000001494042   0.00708222 0.000000001481709   0.00832342
  0.01126400 0.000000001493833   0.00694129 0.000000001481610   0.00824976
  0.01115000 0.000000001493643   0.00681285 0.000000001481509   0.00818998
  0.01103600 0.000000001493467   0.00669460 0.000000001481406   0.00814181
  0.01092200 0.000000001493185   0.00650414 0.000000001481300   0.00802279
  0.01080800 0.000000001493011   0.00638732 0.000000001481193   0.00797900
  0.01069400 0.000000001492847   0.00627667 0.000000001481083   0.00794295
  0.01058000 0.000000001492745   0.00620760 0.000000001480971   0.00795016
  0.01046600 0.000000001492678   0.00616242 0.000000001480856   0.00798298
  0.01035200 0.000000001492498   0.00604108 0.000000001480739   0.00794120
  0.01023800 0.000000001492361   0.00594880 0.000000001480619   0.00793031
  0.01012400 0.000000001492218   0.00585292 0.000000001480496   0.00791764
  0.01001000 0.000000001492079   0.00575912 0.000000001480371   0.00790897
  0.00989600 0.000000001491945   0.00566863 0.000000001480243   0.00790556
  0.00978200 0.000000001491814   0.00558060 0.000000001480112   0.00790666
  0.00966800 0.000000001491598   0.00543436 0.000000001479977   0.00785151
  0.00955400 0.000000001491472   0.00534992 0.000000001479840   0.00786048
  0.00944000 0.000000001491353   0.00526983 0.000000001479699   0.00787607
  0.00932600 0.000000001491357   0.00527224 0.000000001479555   0.00797673
  0.00921200 0.000000001491243   0.00519569 0.000000001479407   0.00800067
  0.00909800 0.000000001491132   0.00512087 0.000000001479256   0.00802885
  0.00898400 0.000000001491140   0.00512590 0.000000001479100   0.00813976
  0.00887000 0.000000001491034   0.00505453 0.000000001478941   0.00817677
  0.00875600 0.000000001490724   0.00484579 0.000000001478778   0.00807881
  0.00864200 0.000000001490608   0.00476714 0.000000001478610   0.00811428
  0.00852800 0.000000001490819   0.00490944 0.000000001478438   0.00837452
  0.00841400 0.000000001490329   0.00457942 0.000000001478261   0.00816401
  0.00830000 0.000000001490615   0.00477223 0.000000001478079   0.00848151
  0.00818600 0.000000001490156   0.00446241 0.000000001477892   0.00829800
  0.00807200 0.000000001490424   0.00464302 0.000000001477700   0.00861041
  0.00795800 0.000000001490328   0.00457895 0.000000001477502   0.00868098
  0.00784400 0.000000001490233   0.00451439 0.000000001477299   0.00875498
  0.00773000 0.000000001490150   0.00445877 0.000000001477090   0.00884209
  0.00761600 0.000000001490104   0.00442753 0.000000001476874   0.00895797
  0.00750200 0.000000001490018   0.00436949 0.000000001476652   0.00905146
  0.00738800 0.000000001489931   0.00431119 0.000000001476423   0.00914938
  0.00727400 0.000000001489848   0.00425496 0.000000001476187   0.00925433
  0.00716000 0.000000001489788   0.00421491 0.000000001475943   0.00938070
  0.00704600 0.000000001489653   0.00412368 0.000000001475691   0.00946107
  0.00693200 0.000000001489650   0.00412135 0.000000001475432   0.00963651
  0.00681800 0.000000001489511   0.00402777 0.000000001475163   0.00972618
  0.00670400 0.000000001489435   0.00397665 0.000000001474885   0.00986484
  0.00659000 0.000000001489347   0.00391769 0.000000001474598   0.01000225
  0.00647600 0.000000001489276   0.00386922 0.000000001474301   0.01015719
  0.00636200 0.000000001489207   0.00382300 0.000000001473993   0.01032176
  0.00624800 0.000000001489144   0.00378052 0.000000001473674   0.01049786
  0.00613400 0.000000001489076   0.00373468 0.000000001473342   0.01067880
  0.00602000 0.000000001489007   0.00368852 0.000000001472999   0.01086809
  0.00590600 0.000000001489047   0.00371535 0.000000001472642   0.01114012
  0.00579200 0.000000001488982   0.00367110 0.000000001472271   0.01135029
  0.00567800 0.000000001488917   0.00362743 0.000000001471885   0.01157138
  0.00556400 0.000000001488853   0.00358470 0.000000001471483   0.01180441
  0.00545000 0.000000001488791   0.00354268 0.000000001471065   0.01204984
  0.00533600 0.000000001488729   0.00350093 0.000000001470629   0.01230798
  0.00522200 0.000000001488670   0.00346099 0.000000001470173   0.01258122
  0.00510800 0.000000001488611   0.00342097 0.000000001469698   0.01286856
  0.00499400 0.000000001488552   0.00338159 0.000000001469200   0.01317169
  0.00488000 0.000000001488492   0.00334128 0.000000001468680   0.01349012
  0.00476600 0.000000001488433   0.00330144 0.000000001468134   0.01382644
  0.00465200 0.000000001488378   0.00326395 0.000000001467562   0.01418386
  0.00453800 0.000000001488323   0.00322701 0.000000001466961   0.01456200
  0.00442400 0.000000001488271   0.00319178 0.000000001466329   0.01496360
  0.00431000 0.000000001488216   0.00315470 0.000000001465664   0.01538685
  0.00419600 0.000000001488164   0.00311967 0.000000001464962   0.01583760
  0.00408200 0.000000001488113   0.00308532 0.000000001464221   0.01631667
  0.00396800 0.000000001488063   0.00305206 0.000000001463438   0.01682691
  0.00385400 0.000000001488011   0.00301671 0.000000001462609   0.01736778
  0.00374000 0.000000001487964   0.00298518 0.000000001461728   0.01794837
  0.00362600 0.000000001487912   0.00295022 0.000000001460793   0.01856475
  0.00351200 0.000000001487866   0.00291912 0.000000001459797   0.01922824
  0.00339800 0.000000001487820   0.00288778 0.000000001458734   0.01993911
  0.00328400 0.000000001487773   0.00285612 0.000000001457597   0.02070236
  0.00317000 0.000000001487727   0.00282521 0.000000001456378   0.02152492
  0.00305600 0.000000001487681   0.00279415 0.000000001455069   0.02241256
  0.00294200 0.000000001487636   0.00276425 0.000000001453658   0.02337443
  0.00282800 0.000000001487564   0.00271581 0.000000001452133   0.02439946
  0.00271400 0.000000001487711   0.00281443 0.000000001450480   0.02566759
  0.00260000 0.000000001487479   0.00265794 0.000000001448683   0.02678010
  0.00248600 0.000000001487624   0.00275574 0.000000001446720   0.02827328
  0.00237200 0.000000001487583   0.00272834 0.000000001444569   0.02977639
  0.00225800 0.000000001487540   0.00269954 0.000000001442201   0.03143787
  0.00214400 0.000000001487530   0.00269229 0.000000001439580   0.03330776
  0.00203000 0.000000001487487   0.00266346 0.000000001436666   0.03537421
  0.00191600 0.000000001487445   0.00263554 0.000000001433405   0.03770102
  0.00180200 0.000000001487411   0.00261242 0.000000001429731   0.04034358
  0.00168800 0.000000001487043   0.00236416 0.000000001425560   0.04312851
  0.00157400 0.000000001487006   0.00233961 0.000000001420786   0.04660804
