#===============================================================================
#   Lip Height Numerical Energy  Relative Error Analytical Energy Analyt. Enrgy. Error
#===============================================================================
  0.01400000 0.000000001502183   0.01256963 0.000000001483544   0.01256372
  0.01258065 0.000000001496352   0.00863891 0.000000001483543   0.00863362
  0.01116129 0.000000001493661   0.00682560 0.000000001483542   0.00682091
  0.00974194 0.000000001491774   0.00555326 0.000000001483541   0.00554917
  0.00832258 0.000000001490258   0.00453117 0.000000001483541   0.00452769
  0.00690323 0.000000001489564   0.00406340 0.000000001483540   0.00406051
  0.00548387 0.000000001488810   0.00355510 0.000000001483539   0.00355281
  0.00406452 0.000000001488105   0.00308034 0.000000001483538   0.00307865
  0.00264516 0.000000001487495   0.00266931 0.000000001483537   0.00266821
  0.00122581 0.000000001487232   0.00249142 0.000000001483536   0.00249091
 -0.00019355 0.000000001486763   0.00217583 0.000000001483535   0.00217591
 -0.00161290 0.000000001486176   0.00177972 0.000000001483534   0.00178040
 -0.00303226 0.000000001485850   0.00156007 0.000000001483534   0.00156133
 -0.00445161 0.000000001485724   0.00147493 0.000000001483533   0.00147678
 -0.00587097 0.000000001485452   0.00129173 0.000000001483532   0.00129417
 -0.00729032 0.000000001485237   0.00114727 0.000000001483531   0.00115031
 -0.00870968 0.000000001484842   0.00088097 0.000000001483530   0.00088459
 -0.01012903 0.000000001484675   0.00076833 0.000000001483529   0.00077255
 -0.01154839 0.000000001484535   0.00067397 0.000000001483528   0.00067877
 -0.01296774 0.000000001484399   0.00058193 0.000000001483527   0.00058733
 -0.01438710 0.000000001484220   0.00046123 0.000000001483527   0.00046721
 -0.01580645 0.000000001484278   0.00050032 0.000000001483526   0.00050689
 -0.01722581 0.000000001483920   0.00025898 0.000000001483525   0.00026614
 -0.01864516 0.000000001483801   0.00017873 0.000000001483524   0.00018648
 -0.02006452 0.000000001483684   0.00009997 0.000000001483523   0.00010831
 -0.02148387 0.000000001483557   0.00001460 0.000000001483522   0.00002352
 -0.02290323 0.000000001483630   0.00006376 0.000000001483521   0.00007327
 -0.02432258 0.000000001483528   0.00000511 0.000000001483520   0.00000499
 -0.02574194 0.000000001483431   0.00007055 0.000000001483520   0.00005986
 -0.02716129 0.000000001483461   0.00004996 0.000000001483519   0.00003869
 -0.02858065 0.000000001483369   0.00011225 0.000000001483518   0.00010039
 -0.03000000 0.000000001483028   0.00034181 0.000000001483517   0.00032937
